"Area","Feature","AlloFlowImplementation","Source","Evidence","MagicSchool","Brisk","Diffit","Curipod","Eduaide","SchoolAI","Khanmigo","ComparableCompetitors","StackUp","Notes"
"3.12 Help, Guidance & Onboarding","AlloBot (in-app chatbot)","Floating Gemini-backed support agent: answers feature questions, suggests tools, escalates to human support","FEATURE_INVENTORY.md","Bottom-right floating avatar OR auto-appears when idle","Partial/full comparable via custom chatbots/student tools","No public dedicated comparable found","No public dedicated comparable found","Partial classroom interaction comparable","Generic assistant comparable","Strong comparable via Spaces","Strong comparable as AI tutor","MagicSchool (Partial/full comparable via custom chatbots/student tools); Curipod (Partial classroom interaction comparable); Eduaide (Generic assistant comparable); SchoolAI (Strong comparable via Spaces); Khanmigo (Strong comparable as AI tutor)","Mixed; AlloFlow more gameful and cross-tool, SchoolAI/Khanmigo stronger as polished tutor/chat products","AlloFlow adds quest/rapport/game mechanics and curriculum ties; SchoolAI/Khanmigo have clearer public positioning and scale for AI conversation."
"3.12 Help, Guidance & Onboarding","Help Search","Searchable knowledge base (markdown pages)","FEATURE_INVENTORY.md","Header â†’ ? â†’ Search Help OR Ctrl+K","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","None public among reviewed competitors","AlloFlow materially ahead or unique","No reviewed competitor publicly describes a dedicated equivalent; generic AI prompting may approximate pieces."
"3.13 Special Features","Escape Room","5-10 content-related puzzles in immersive game scenario; team or individual; timed variant","FEATURE_INVENTORY.md","Sidebar â†’ Escape Room OR Header â†’ Games menu","Partial/full comparable via custom chatbots/student tools","No public dedicated comparable found","No public dedicated comparable found","Partial classroom interaction comparable","Generic assistant comparable","Strong comparable via Spaces","Strong comparable as AI tutor","MagicSchool (Partial/full comparable via custom chatbots/student tools); Curipod (Partial classroom interaction comparable); Eduaide (Generic assistant comparable); SchoolAI (Strong comparable via Spaces); Khanmigo (Strong comparable as AI tutor)","Mixed; AlloFlow more gameful and cross-tool, SchoolAI/Khanmigo stronger as polished tutor/chat products","AlloFlow adds quest/rapport/game mechanics and curriculum ties; SchoolAI/Khanmigo have clearer public positioning and scale for AI conversation."
"3.13 Special Features","Word Bank","Persistent floating sidebar with current glossary terms + audio pronunciation","FEATURE_INVENTORY.md","Always available once Glossary generated","Full/dedicated comparable","Strong comparable","Strong comparable","Partial/narrower comparable","Full/dedicated comparable","Partial via personalized Spaces","Partial tutoring comparable","MagicSchool (Full/dedicated comparable); Brisk (Strong comparable); Diffit (Strong comparable); Curipod (Partial/narrower comparable); Eduaide (Full/dedicated comparable); SchoolAI (Partial via personalized Spaces); Khanmigo (Partial tutoring comparable)","Mixed; Diffit/Brisk are narrower and faster, AlloFlow is broader","Diffit and Brisk are very strong on quick leveling/export workflows; AlloFlow adds deeper accessibility controls, multilingual UI, and cross-tool integration."
"3.13 Special Features","History Panel","Chronological log of session outputs with timestamps, version control, export, AI session-summary generation","FEATURE_INVENTORY.md","Header â†’ History","Partial SaaS comparable","Partial SaaS/browser comparable","Partial SaaS/export comparable","Partial SaaS comparable","Partial SaaS comparable","Strong trust/safety comparable","Strong ecosystem comparable","MagicSchool (Partial SaaS comparable); Brisk (Partial SaaS/browser comparable); Diffit (Partial SaaS/export comparable); Curipod (Partial SaaS comparable); Eduaide (Partial SaaS comparable); SchoolAI (Strong trust/safety comparable); Khanmigo (Strong ecosystem comparable)","AlloFlow ahead on local-first/provider flexibility; competitors ahead on managed SaaS operations","AlloFlow exposes unusual local/offline/provider controls; paid SaaS competitors are stronger in managed reliability and procurement trust."
"3.13 Special Features","Project Settings","Named projects with metadata (grade, standards, theme), save/load JSON, assign to cohort","FEATURE_INVENTORY.md","Header â†’ Save/Load/Settings","Partial comparable","Partial class-insight/feedback comparable","No public dedicated comparable found","Strong comparable","No public dedicated comparable found","Strong comparable","Partial district/classroom comparable","MagicSchool (Partial comparable); Brisk (Partial class-insight/feedback comparable); Curipod (Strong comparable); SchoolAI (Strong comparable); Khanmigo (Partial district/classroom comparable)","Competitors stronger on focused live-class polish and adoption proof","Curipod and SchoolAI are likely stronger in their live-class lanes; AlloFlow wins when live sessions connect to the larger UDL/STEM/SEL suite."
"3.13 Special Features","PDF Accessibility Audit","Upload PDF â†’ audit for missing alt-text, contrast issues, semantic structure â†’ automated remediation report â†’ export remediated version","FEATURE_INVENTORY.md","Header â†’ Tools â†’ PDF Audit OR Sidebar (teacher)","No public dedicated comparable found","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","No public dedicated comparable found","Diffit (Export-only partial comparable); Eduaide (Export-only partial comparable)","AlloFlow clearly ahead/unique among reviewed competitors","This is a major moat: accessibility is a product surface, not just a compliance statement."
"3.13 Special Features","PDF Diff Viewer","Side-by-side comparison of original vs. fix-and-verify remediated PDF","FEATURE_INVENTORY.md","PDF Audit â†’ Run Fix-and-Verify â†’ Diff Modal","No public dedicated comparable found","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","No public dedicated comparable found","Diffit (Export-only partial comparable); Eduaide (Export-only partial comparable)","AlloFlow clearly ahead/unique among reviewed competitors","This is a major moat: accessibility is a product surface, not just a compliance statement."
"3.13 Special Features","Export Preview & Customization","Multi-format preview (PDF/DOCX/HTML/Slides/SCORM/Canvas/Blackboard) with branding customization, custom CSS, themes, presets, a11y inspect mode","FEATURE_INVENTORY.md","Lesson Plan output â†’ Download/Export button","Full/dedicated comparable","Full/dedicated comparable","Partial/narrower comparable","Partial/narrower comparable","Full/dedicated comparable","Partial via Spaces/assistant","Full/dedicated teacher assistant comparable","MagicSchool (Full/dedicated comparable); Brisk (Full/dedicated comparable); Diffit (Partial/narrower comparable); Curipod (Partial/narrower comparable); Eduaide (Full/dedicated comparable); SchoolAI (Partial via Spaces/assistant); Khanmigo (Full/dedicated teacher assistant comparable)","Crowded category; AlloFlow wins on bundled UDL/accessibility breadth","Competitors are strong at fast teacher-material generation; AlloFlow differentiates by connecting generation to accessibility, live tools, STEM/SEL, and export remediation."
"3.13 Special Features","Gemini Bridge / Send Modal (Teacher)","Teacher-side bridge: send messages to paired student session with translation, voice options, image attach, chat history, F2F language settings","FEATURE_INVENTORY.md","Teacher mode + active live session â†’ Bridge Send icon","Full/dedicated comparable","Strong comparable","Strong comparable","Partial/narrower comparable","Full/dedicated comparable","Partial via personalized Spaces","Partial tutoring comparable","MagicSchool (Full/dedicated comparable); Brisk (Strong comparable); Diffit (Strong comparable); Curipod (Partial/narrower comparable); Eduaide (Full/dedicated comparable); SchoolAI (Partial via personalized Spaces); Khanmigo (Partial tutoring comparable)","Mixed; Diffit/Brisk are narrower and faster, AlloFlow is broader","Diffit and Brisk are very strong on quick leveling/export workflows; AlloFlow adds deeper accessibility controls, multilingual UI, and cross-tool integration."
"3.13 Special Features","Gemini Bridge / Receive Modal (Student)","Student-side bridge: receive translated message + glossary terms + audio replay + karaoke / projection mode","FEATURE_INVENTORY.md","Student session receives bridge message","Full/dedicated comparable","Strong comparable","Strong comparable","Partial/narrower comparable","Full/dedicated comparable","Partial via personalized Spaces","Partial tutoring comparable","MagicSchool (Full/dedicated comparable); Brisk (Strong comparable); Diffit (Strong comparable); Curipod (Partial/narrower comparable); Eduaide (Full/dedicated comparable); SchoolAI (Partial via personalized Spaces); Khanmigo (Partial tutoring comparable)","Mixed; Diffit/Brisk are narrower and faster, AlloFlow is broader","Diffit and Brisk are very strong on quick leveling/export workflows; AlloFlow adds deeper accessibility controls, multilingual UI, and cross-tool integration."
"3.13 Special Features","Study Timer","Pomodoro-style focus mode with break reminders + streak tracking","FEATURE_INVENTORY.md","Header â†’ timer icon","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","None public among reviewed competitors","AlloFlow materially ahead or unique","No reviewed competitor publicly describes a dedicated equivalent; generic AI prompting may approximate pieces."
